Nome,Ano,Km,Local,Preço,Link
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2018/2018,111.093 Km,Bauru (SP),R$ 95.890,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2018/58829429
FORD FUSION 2.0 Titanium 16v Híbrido 4p Automático,2016/2017,153.497 Km,Brasília (DF),R$ 101.990,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-16v-hibrido-4p-automatico/4-portas/2016-2017/59118859
FORD FUSION 2.5 16v Flex 4p Automático,2015/2016,72.898 Km,São Paulo (SP),R$ 71.880,https://www.webmotors.com.br/comprar/ford/fusion/25-16v-flex-4p-automatico/4-portas/2015-2016/59093641
FORD FUSION 2.0 Sel 16v Gasolina 4p Automático,2017/2017,72.976 Km,Curitiba (PR),R$ 94.999,https://www.webmotors.com.br/comprar/ford/fusion/20-sel-16v-gasolina-4p-automatico/4-portas/2017/59084639
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2014/2015,124.000 Km,São Paulo (SP),R$ 74.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2014-2015/59187022
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2015/2016,138.000 Km,Campinas (SP),R$ 82.990,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2015-2016/58189967
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2018/2018,75.000 Km,São José dos Campos (SP),R$ 103.990,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2018/59118675
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2014/2015,134.458 Km,Mogi Guaçu (SP),R$ 79.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2014-2015/59152641
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2018/2018,75.000 Km,Caraguatatuba (SP),R$ 103.990,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2018/59118491
FORD FUSION 2.0 Titanium Fwd 16v Gasolina 4p Automático,2018/2018,114.897 Km,São Paulo (SP),R$ 103.990,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-fwd-16v-gasolina-4p-automatico/4-portas/2018/59107877
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2017/2017,76.000 Km,Sorocaba (SP),R$ 102.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2017/59216134
FORD FUSION 2.0 Titanium Fwd 16v Gasolina 4p Automático,2014/2015,115.000 Km,Curitiba (PR),R$ 78.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-fwd-16v-gasolina-4p-automatico/4-portas/2014-2015/58100121
FORD FUSION 2.5 16v Flex 4p Automático,2015/2016,104.000 Km,São Paulo (SP),R$ 82.900,https://www.webmotors.com.br/comprar/ford/fusion/25-16v-flex-4p-automatico/4-portas/2015-2016/57184928
FORD FUSION 2.5 16v Flex 4p Automático,2015/2016,70.400 Km,Santo André (SP),R$ 88.900,https://www.webmotors.com.br/comprar/ford/fusion/25-16v-flex-4p-automatico/4-portas/2015-2016/58862673
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2012/2013,118.948 Km,Joinville (SC),R$ 73.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2012-2013/58632816
FORD FUSION 2.0 Sel 16v Gasolina 4p Automático,2017/2017,61.913 Km,São Paulo (SP),R$ 87.990,https://www.webmotors.com.br/comprar/ford/fusion/20-sel-16v-gasolina-4p-automatico/4-portas/2017/59162450
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2018/2018,63.000 Km,Santo André (SP),R$ 107.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2018/59220795
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2016/2017,115.000 Km,Campos dos Goytacazes (RJ),R$ 95.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2016-2017/56331564
FORD FUSION 2.0 Sel 16v Gasolina 4p Automático,2018/2019,83.002 Km,Cotia (SP),R$ 106.900,https://www.webmotors.com.br/comprar/ford/fusion/20-sel-16v-gasolina-4p-automatico/4-portas/2018-2019/58895589
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2017/2017,70.263 Km,São Bernardo do Campo (SP),R$ 95.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2017/59103054
FORD FUSION 2.5 16v Flex 4p Automático,2015/2016,104.158 Km,Mauá (SP),R$ 69.900,https://www.webmotors.com.br/comprar/ford/fusion/25-16v-flex-4p-automatico/4-portas/2015-2016/59006893
FORD FUSION 2.0 Sel 16v Gasolina 4p Automático,2018/2018,79.200 Km,São Paulo (SP),R$ 89.890,https://www.webmotors.com.br/comprar/ford/fusion/20-sel-16v-gasolina-4p-automatico/4-portas/2018/59036629
FORD FUSION 2.5 Sel 16v Gasolina 4p Automático,2011/2011,193.000 Km,Piracicaba (SP),R$ 48.990,https://www.webmotors.com.br/comprar/ford/fusion/25-sel-16v-gasolina-4p-automatico/4-portas/2011/58904134
